Nome;BI;NIF;Morada;Codigo postal
Iag Frazão;12037796;311071228;Ribeira da Corona;2091-726
Marvão Amaral;1349420;849712071;Sebadelhe da Serra;4765-112
Jório Lobo;1184837;430379759;Areias de Vilar;5531-180
Josué Rio;12539751;569884537;Distrito de Beja;7114-927
Carsta Agostinho;12424993;738201374;Castanhal;7615-366
Oceano Lemos;3459888;393649194;Alijo;1261-202
Lupicino Silva;15808001;851720065;Peralcovo;7574-698
Máximo Farias;19812355;351237572;Palheiro Ferreiro;192-359
Dinis Azevedo;12810299;962115747;Aldeia da Ponte;1637-113
Otoniel Otero;8315061;881818313;Bagunte;8937-388
Orlandino Caldas;13233697;952328596;Barranco das Colmeias;8238-457
Almurtão Farias;5969054;130133198;Ordem de Cima;49-253
Agostinho Marques;1621508;444571031;Ponta da Fajã Pequena;7422-908
Edmur Torres;9214836;615935805;Brejo da Carregueira;8939-387
Bóris Maia;15851088;828615166;Pico do Carvão;27-476
Ingo Amorim;11896894;289546783;Castro Verde;1936-682
Bassarme Peres;7218900;819237863;Baralde;3393-856
Bárbaro Cortez;6659816;973855321;Ribeira de Telhe;8862-1
Baqui Carrilho;16360916;5746359;Alcarraques;5540-694
Luzio Vasques;4447533;93762549;Distrito de Leiria;4111-810
Vidal da Costa;17617752;852870834;Nossa Senhora do Cabo;7123-751
Tarcísio Areias;156559;762856336;Bom Despacho;9360-120
Hermano Soares;1381638;611282762;Dem;6748-743
Miguel Encarnação;4103129;707623225;Ribeiro da Porqueira;5511-570
Djalma Paladino;3142834;623985874;Figueiredo;63-605
Ralfe Abrunhosa;8798540;835968393;Casal do Estacal;4477-582
Luzio Mesquita;8219329;45060190;Corgo da Picota;9962-314
Tatiano Barreiros;1488517;508357156;Alto dos Coriscos;995-339
César Paredes;14276295;802005710;Clube Praia da Oura and Oura Praia Hotel;7581-587
Liciniano Aleixo;5938490;170795017;Sarradeiro;4880-223
Gualter Guerra;8141614;635214098;Carrasqueira;8563-588
Dieter Gama;3129893;280798713;Ponta da Má Merenda;5920-329
Isildo Montanha;2688496;758723954;Vale Coelho;4060-880
Porfírio Salgado;17854231;156935261;Pedrais;2097-73
Delmano Carreiro;1200073;140256484;Barranco do Ferragudo;5963-661
Salvador Balsemão;1962095;712567263;Ribeira de Dentro;8143-598
Jessé Oliveira;17549601;63690395;Albergaria Josefa D Obidos;5425-444
Floriano Almeida;11969292;679060060;Charneca do Maxial;2136-157
Barnabé Noronha;11864860;450031951;Porto dos Barcos;6919-990
Aquila Ferreira;559724;840750540;Vila Franca das Naves;6452-146
Aziz Oliveira;10124342;631445238;Ribeira do Testo;6664-904
Raúl Filgueiras;5043821;664001251;Casenho;8409-933
Henrique Geraldes;10144269;595727297;Serraquim;6519-769
Silas Pessoa;16815109;900483826;Ribeira do Arneiro;7884-244
Aron Ferraz;15079542;692416857;Mendo Marques de Cima;2069-64
Nenrode Rego;7998763;524702689;Rio Tuela;849-611
Aventino Caldeira;2458729;769587553;Ribeira Tira Calças;5254-391
Marílio Martins;18848967;751979605;Areão;9966-87
Urbino Ligeiro;19644318;335272281;Rio de Mel;4816-643
Péricles Alves;11934209;952032884;Pousada Do Crato-Flor Da Rosa;7512-543
Emídio Fernandes;10157847;1242145;Arruda dos Pisões;3397-759
Jadir da Silveira;14234664;416373580;Ponta da Greta;666-276
Adeodato de Jesus;18185790;184669673;Sabacheira;5187-718
Jocelino Coelho;8712513;433226642;Monchique;786-155
Vérter Soares;17811586;897856079;Relva da Louça;6482-111
Enes Costa;678280;693721175;Ribeira do Vale de Água;5992-988
Ódin Quintais;2157189;87560684;Ribeira da Santa;8691-306
Niete Taborda;4882309;888779759;Corcitos;6038-770
Rivelino Valente;1238805;559899598;Sanche;9528-276
João Magalhães;12865221;553123626;Barranco do Lobo;7785-168
Hipólito Brandão;1358735;346382935;Barranco dos Sopos;3718-151
Normano Paiva;18825189;131022584;Lagoa do Garcia;5720-608
Jonas Postiga;2790251;239875273;São Tiago dos Velhos;5630-633
Artur Penteado;335562;504305720;Biogal;8053-503
Delmano da Maia;2629481;773721480;Fonterma;3009-192
Filomeno Adrião;3812232;296322375;Esteiro das Castanhas;2248-933
Ivan Cabrita;13795063;338172926;Paradamonte;418-377
Benvindo Borges;14316611;378812990;Corga do Vale das Antas;3199-667
Egas Pedrosa;17262350;460535891;Carcavelos de Baixo;7266-206
Aristides Raposo;3820918;782580580;Terroso;7716-371
Diamantino Barcelos;19472713;979690416;Venda do Pinheiro;9590-99
Áser Andrade;16555576;743189715;Pedrulheira;7733-863
Arlindo Camacho;18111224;880557711;Barranco de Monte Branco;890-40
Viriato Cadete;18617925;990204119;Além;5729-930
Anael Cairo;16066434;695272137;Alto do Garcia;2140-197
Gileade Porto;802408;730676455;Barranco do Queimado;4030-20
Misael Moreira;1271855;422895167;Mansores;5414-809
Virgílio Pacheco;15199103;434550408;Pardielas;6667-62
Noel Henriques;6690599;745703835;Enseada da Nazaré;3557-149
Xico Messias;5275180;516071034;Portela de Agudelo;9626-261
Esaú Almeida;10129243;493450935;Serra da Lousada;1840-619
Tatiano Ramirez;1138600;247454356;Alto de São Jorge;4954-443
Arnaldo Penim;6821233;613600175;Ribeira do Medo;1481-17
Apolónio Nunes;19305512;198208212;Corujeiro;7066-176
Eduartino Amorim;17218585;357334833;Vip Executive Madrid;2719-543
Alexandro Bernardino;4354256;549693451;Valongo do Farrio;5984-145
Zebilon Garcia;18459420;492241506;Poço das Figueiras;7691-482
Elói Ferreira;19491457;358151292;Alhandra;9005-875
Nicásio Figo;4842463;734569947;Monte da Acharrua;8387-918
Adolfo Taveira;6007642;965677359;Retaxo;8835-365
Zacarias Bastos;12962888;49608981;Digueifel;2496-942
Evandro Moniz;4600944;574062410;Rio Pequeno;6894-932
Quaresma Domingues;8740357;174722288;Ribeira de Muzes;6162-136
Milton Carvalheira;19716915;835856199;Ribeira de Covelinhas;5838-961
Tobias Ribeiro;14769611;491062868;Cabeço de Coelho;1057-689
Nídio Fonseca;16105275;275725748;Engarnais Cimeiros;3508-632
Matusalém Pontes;11876329;421802768;Mirachoro I - Apartamentos Turisticos;8649-864
Viveque Balsemão;9571736;671677929;Jardoeira;6487-958
Vitálio Barreira;15581215;851019749;Vale Mendes;298-326
Dárcio Cabral;10092194;369265498;Brogueira;1586-196
Macário Dinis;14802101;773389617;Ribeiro da Atalaia;3075-201
Crispim Martins;12171138;281186689;Hotel Apartamento Dom Pancho;3744-307
Igor Feijão;8000302;958100369;Hotel Meia Lua;2003-46
Wermeson Santos;19961498;400576338;Vale da Madre;6416-719
Gildásio Navarro;8069637;137462134;Ponte de Cima;5034-714
Dácio Vicente;14081472;115827967;Junquinho;1955-150
Pompeu Morgado;6745157;690257014;Barranco da Parreira;1151-219
Rogério Barreto;5723498;823195793;Caneças;4155-210
Nilo Noronha;3444855;920558684;Ribeira de Lamas;9282-354
António Macieira;18500893;587740805;Esteval;8435-335
Jair Santos;9804873;151703438;Alpino Atlantico Hotel;1966-432
Alito Antunes;3518039;926930295;Travancela;8561-839
Sidónio Feitosa;13826315;542359388;Melroeira;9574-219
Gustavo Hora;8493738;298152163;Ribeiro de Lobo;8427-859
Arine Antunes;13362486;544764091;Serra da Laboreira;7847-429
Dejalme Peralta;5990143;459498311;Cabeça de Carneiro;4969-732
Baldomero Guerreiro;11944110;193663507;Ribeira de Cuncos;7718-331
Geraldo Tomé;9178276;717496082;Azambujeira;7019-623
Salviano Mourão;4102175;23859888;Ribeira de Corte Mourão;5790-263
Gastão Barroso;16428685;486380415;Alto do Pico;6712-545
Berto Gaspar;13074595;994679138;Marga;3084-835
Argemiro Amado;6091310;568653267;São Torcato de Baixo;7478-171
Denil Mendes;17186008;332366656;São João das Lampas;3215-382
Zózimo de Miranda;2901425;600960032;Pousada De Palmela;697-811
Soeiro Carrilho;14504026;185630094;Serra dos Picos;9726-451
Heitor Gomes;10646732;118965364;Sandim;5507-559
Ronaldo Pinto;15039175;424617059;Monte de Barradas;9506-169
Matias Morgado;18296659;868802327;Monte da Amendoeira de Baixo;2370-820
Constantino Canelas;689535;667850867;pousada n sra da assuncao;5308-445
Rafael Messias;5912639;554421829;Golfar;5230-746
Élsio Santos;372961;134684001;Aldeia da Ribeira;8022-312
Januário Padrão;15117856;390977673;Casais da Longa;2428-577
Cecílio Paiva;6720443;331163735;Gondiãis;5694-865
Guadalberto Baptista;12173875;460004713;Rendufe;5340-618
Lourenço Dominguez;4113294;864274601;Quinta do Anjo;7177-631
Ademir Osório;18221506;100958806;Fouto;1637-744
Mendo Otero;18983692;770428777;Troias;1986-397
Ian Barcelos;6061341;51686070;Costa do Lagido;9758-350
Emiliano Barroso;9174666;756308406;Ardido;6340-35
Sandrino Caldas;1444953;127952177;Quinta dos Cinco Outeiros;7853-118
Paulo Gama;19466766;301656542;Barranco da Ameixieira;6214-509
Alex Garcia;3027363;343981593;Gestosa Fundeira;4820-867
Nonato Conceição;15543651;176010957;Barranco do Malheiro;2387-40
Dirque Manso;19712118;398024221;Barranco da Horta dos Bernardos;5826-753
Elmar Paredes;4960006;924528342;Barranco dos Cabanos;7968-956
Severo de Castro;11759058;535947106;Barranco do Lantisqueiro;1901-556
Adrião Amorim;12051439;256618220;Vasco Rodrigues;9122-407
Délio Anjos;2599532;414412113;Fontes de Transbaceiro;9108-943
U Jardim;14576576;575780043;Província do Baixo Alentejo;8651-597
Jónatas de Jesus;4930103;207428473;Arcozelo da Torre;9281-741
Lutero Serra;18964734;414419891;Machuqueira do Grou;6557-73
Grácio Encarnação;11965581;717680631;Meãs do Campo;4526-891
Maurílio Barradas;4493299;821465330;Penhascoso;6074-822
Castelino Cortez;19421367;874623863;São Cipriano;9569-456
Bertino Nunes;12025999;881215289;Ribeira da Ametade;9306-21
Jocelino Caetano;6414632;205834605;Serra do Gerês;9861-717
Rodrigo Marquês;2052752;500058047;Pontemieiro;2795-523
Evandro Brito;2631524;590232963;Ribeira do Serrado;1771-502
Galileu Gadelha;13165824;640956475;Ribeiro da Calçadinha;7601-463
Egídio Salomão;4820182;660774896;São Romão de Aregos;6525-115
Filipe Craveiro;13907839;168150413;Ribeiro das Pedras;4335-885
Érico Ramires;14820840;542940063;Catraia;6090-741
Josselino Marques;9223603;539880391;Agra;1048-155
Africano Abreu;2505601;814973578;Paredes Secas;6221-891
Magno Peçanha;17878023;973598781;Corgo do Pero Galego;5499-342
Hildeberto dos Santos;16340449;989155379;Fulões;6304-109
Vero Lima;16786843;557868775;Quinta do Amaral;4456-460
Agostinho Jordão;9761946;833558768;Monte do Cardial;8684-204
Timóteo Campos;3101341;325307087;Ribeiro das Caravelas;3247-896
Patrício Lima;9071736;291466145;Tramagal;6666-173
Cipriano Pedroso;7262103;19802317;Rua do Congro;7232-612
Mamede Carvalho;18275381;436549397;Sorvel Cimeiro;418-334
Gilberto Sardinha;19360124;152402344;Convento do Espinheiro Heritage Hotel & Spa;2715-134
Álvaro Henriques;8742175;399106157;Granja de Baixo;2860-116
Aníbal Cruz;6143435;205539924;Mata Fome;5470-566
Rogério Bastos;19444138;718942237;Alpino Atlantico Hotel;5608-553
Vêndel Lobato;4431677;461327927;Ribeiro de Vale Machado;2188-107
Nereu Sousa;11867741;372432436;Corga dos Piornais;5535-214
Jacó Alecrim;10558109;596310833;Hotel Metropole;2739-719
Charbel Moutinho;8303166;335246282;Poiares;973-452
Nabor Ramos;16874242;488604955;Vale de Janeiro;3438-59
Varo Carvalho;15066185;68665661;Barranco da Nave;850-175
Virgulino Andrade;14628838;550794020;Ribeiro dos Olivais;6433-60
Barcino Albuquerque;11476041;964806857;Lajes de Cima;1670-908
Getúlio Júnior;2559182;127709962;Ribeiro da Lagoa;7693-670
Ludovino Romão;1087124;128437909;Cabeço Mirante;8842-256
Jónatas Guerreiro;5843352;183293348;Barranco do Rotilho;6647-17
Denis Assis;9997054;991860046;Quinta do Pagador;2738-237
Infante Veiga;9551758;514207885;Barranco da Vila;7911-87
Ringo Moutinho;1608332;611088567;Hotel Costa da Caparica;379-235
Tarcísio Cerqueira;5172930;421747629;João Gomes;4007-532
Juventino Reis;10387397;389168309;Rocha Quebrada;4337-344
Idavide Nunes;12036484;423069138;Ribeiro do Calvário;6266-380
Leone Abrantes;10435632;48276282;Ribeira dos Anodos;8819-629
Gaudêncio Alvaredo;18315502;823678530;Ribeiro da Pexina;312-348
Leónidas Viana;16206279;585397471;Ribeira do Rodo;2761-547
Alano Sardinha;14793787;615363437;Torre Velha;6247-28
Gregório Marquês;5611807;462958475;Furoca;6684-536
Lael Carvalhal;18740307;972924780;Marmoiral;3521-875
Arcelino Santos;9519859;689365088;Arazede;3231-75
Adamastor Lobato;576290;712966538;Albufeira do Ermal;6390-452
Jordano Lousada;6720395;475669453;Trás-o-Lombo;5737-249
Martiniano Ruivo;16134429;538851372;Grandais;5064-25
Gervásio Simões;15103808;725665716;Fráguas;750-760
Alder da Silveira;11477406;633147851;Serra de Amonde;6877-547
James Miranda;16992717;606027010;Carocha;8530-191
Joás Geraldes;2890923;14682267;Hotel Vila Gale Ericeira;437-331
Martiniano Castanheira;9086999;829349084;Ribeiro da Seixa;6356-302
Caleb Machado;17397128;873760198;Sapal Mosqueiro;1965-622
Dirque Marquês;14640460;287709743;Morenos;9019-676
Pedro Pires;10989732;340143525;Rua do Congro;7809-597
Clídio Ferreira;11256801;240396739;Gaio;5774-39
Didaco da Cunha;5894192;876918380;Moita da Roda;277-340
Edgar Madureira;11349022;704219251;Vimeiro;989-618
Sátiro Leite;13818654;897903620;Bouças Donas;9162-728
Alão Palma;12614809;735133892;Panascos;1965-346
Isildo Arantes;11657191;151105831;Cerdeira;8065-507
Iag Otelo;14532206;139608490;Giraldes;9932-751
Elmar Paião;15564157;474529952;Abadia;7915-455
Râdamas Alcântara;10128377;290542094;Trajouce;3001-900
Breno Medeiros;3439185;252136175;Cadaveira;9276-607
Alvino Cardoso;2201421;213643793;Meixedos;4863-119
Norberto Bento;13076588;551681760;Monte Pando;4723-508
Tarsício Alvim;10567745;346486702;Pedra da Foz;7778-208
Nicolau Guterres;18763628;242946555;Distrito de Lisboa;8777-568
Edvaldo Figueiredo;17277756;695099755;Rio Seixo;5375-294
Adolfo Lucas;15211885;503470295;Vilarinho das Touças;3570-536
Paulino Estrela;14170888;393519949;Barranco da Ataboeira;3773-817
Elias Miranda;4236084;587862856;Ribeira do Seissal de Baixo;8349-140
Susano Messias;12795422;630828388;Espadanedo;1730-663
Abílio Novo;14311881;621581091;Fornos de Maceira Dão;5594-398
António Aires;8779887;760693306;Ribeira do Nabo;5611-372
Cassiano Pacheco;1044496;115644678;Benafim;7341-138
Zarão Dinis;11020332;648809232;França;2071-65
Lourival Castelo;2714175;616902742;Pereira;4939-940
Mariano Irmão;318916;531689408;Ribeira da Gafa;6987-181
Franklin Moreira;7094535;964862547;Alto do Vale de Colmeias;4859-202
Ícaro Madureira;2069214;685249492;João Antão;8807-611
Sifredo Pontes;553732;835006424;Ribeira da Senhora do Fastio;4074-873
Fernão Carmo;3417238;260306465;Giestoso;3222-438
Russel Pires;8875136;781816773;Ribeira da Carpinteira;7937-705
Alano Vargas;12456996;645479484;Rio Este;3-862
Tavernas Padre;13564542;518042768;Ribeiro do Vale dos Serralhões;6115-883
Renato Borges;14829920;735250278;Aldreu;9682-80
Charbel Cabrita;13259954;746816102;Ponta da Furna;4445-80
Demétrio Palhares;16004914;470649045;Vale da Pipa;4473-624
Zaido Couto;12723767;468706603;Lavacolhos;6573-28
Girão Nobre;11198597;836571239;António José de Almeida (statue);5952-997
Erik Souto Maior;7858698;672001990;Alferrarede;2439-365
Valente Pinto;8718630;795870729;Teixeira;9710-887
Susano Manso;4478505;571568711;Quinta do Vidigal;3992-175
Amarildo Castilho;9031556;53574260;Bezerros;7773-632
Filino Gadelha;5586759;421241789;Aspra;1670-990
Cíntio Franco;13992827;578005088;Serra do Gomes;930-100
Máximo Ramalho;2283016;895175859;Sitio do Cano Amarelo | Yellow Pipe Place;3826-153
Brian Frias;2543289;602376073;Tola;1002-595
Gervásio Aragão;13405773;924639764;Pousada De Vila Vicosa;5118-400
Anastácio Coutinho;3844743;709993649;Vale de Cambra;3004-670
Ildo Lopes;12030430;131674693;Lagoa da Sancha;9167-632
Sandro Ferreira;4002379;354344027;Montes Juntos;9224-467
Elioenai Ligeiro;17629177;891731081;Região Autónoma da Madeira;9016-259
Eda Beja;3183390;906687007;Macieirinha;2598-890
Alivar Portugal;1036867;585865650;Ribeira da Mãe d’ Água;8018-860
Taciano Caldeira;12332946;936596235;Ribeiro da Abegoaria;1004-21
Vinício Ferreira;8738411;994495768;Tuxufal de Baixo;4575-541
Romano Barradas;11241155;840734940;Aldeia do Além;6261-75
Zózimo Baião;19986037;374549156;Estalagem Dos Zimbros;3963-773
Hélder Marques;13610773;780663886;Sorraia Velho;3522-396
Virgínio Parente;13664675;72545794;Tosquiado;5663-471
Davi Paias;9706053;20938248;Avessadas;6805-150
Vitálio Amado;3844937;262274828;Santo Emilião;1681-816
Belchior Novaes;12707191;981022126;Pedras Rubras;9956-440
Abssilão Bernardino;3945149;634217629;Azores;6834-592
Énio da Costa;16295313;897909252;Galé de Cima;5160-951
Edmur Medeiros;18215231;864459380;Linharelhos;934-936
Lucas Osório;7657643;482933565;Ribeiras;7679-441
Jitendra Marques;9988598;986644003;Souto Sico;2883-987
Cid Santos;8497975;922250787;Pisões;7204-974
Udo Domingos;13800006;302783360;Cabo Mondego;9966-105
Natalino Antunes;17954130;513139801;Porto do Tejo;5261-182
Berilo Couto;6286304;735798663;Alto de São Jorge;6809-624
Viveque Medeiros;4686016;593249545;Daporta;4813-651
Isaque Brandão;13956429;926588677;Cabanas de Viriato;6754-690
Pérsio Albano;14596450;342678688;Vale da Figueira;8372-208
Dino Pinto;19628366;224190009;Picada;6066-223
Anaim Pimentel;11419239;678303895;Barranco do Pego Redondo;7446-336
Garcia Espirito Santo;18788124;775086682;Paul da Serra;8156-753
Tácio Messias;17954172;311979357;Alvito de Cima;2380-986
Sindulfo Abrunhosa;17953482;343930519;Moita da Roda;1140-426
Boanerges Cabanas;16135777;543634258;Ribeira do Monte Longo;5482-394
Dilermando Pinto;19800437;159425762;Bogas de Cima;1789-9
Prado Meira;3091612;874316078;Monte de Luvar;4921-517
Nobre Pereira;2064925;355405166;Casal do Cimeiro;8552-746
Lutero Domingos;1007101;883248650;Ribeira de Fervenças;5139-845
Euclides Estrela;9870180;711927348;Ribeira das Galinhas;1331-906
Zebilon Lisboa;507796;665855856;Hotel Eurosol Seia Camelo;5762-755
Priam Lobão;12510508;917824051;Caminho do Meio;1719-392
Dejalme Lopes;11238799;401528262;Teixeira;8518-52
Wilson Almeida;633598;58833639;Lapas da Corrente;9858-728
Bibiano Feijão;97747;153364027;Serra de Corgo;5695-635
Ferdinando Almeida;6069225;239489007;Barranco do Lavadouro;963-616
Liberto Assunção;15494402;695973363;Cortesia;167-564
Delmar Lameiras;11453149;921869952;Aljubarrota;9544-934
Amândio Custóias;4270042;446135708;Solar Dos Canavarros;6230-774
Carlo Ladeia;5536434;791670175;Ribeira da Aldeia;6805-124
Alírio Vieira;1759220;405186553;Vale de Lama;8372-961
Eduíno Amorim;6117771;230899541;Ribeiro da Marosca;1867-474
Ruby Porto;19010728;610157190;Ribeiro da Talisca;9886-670
Máximo Assunção;9448355;756662241;Goucha;3384-855
Horácio Marques;19106995;976761095;Ponta do Hospital;5486-725
Eliseu Bernardino;4481332;782779287;Sierra de Escusaña;3314-137
Dimas Dinis;14273196;272541301;Ribeira de Santa Cruz;373-385
Almurtão Bento;10925693;564549905;Ribeiro da Abrunheira;4824-674
Honorato Campos;3444500;577466762;grota da Canada do Sousa;1522-132
Roque Calapez;5172353;743090412;Gamelas;1514-699
Genésio Guimarães;13159209;470431366;Garruchas;5890-526
Josias Carneiro;5088;47416773;Ilha de Cima;9347-745
Ilídio Gago;4207287;543306548;Ribeiro do Povo;4425-221
Ingo Simão;13671801;98579821;Clube Praia da Oura and Oura Praia Hotel;7361-433
Décimo Ferreira;15675883;644707668;Formosa Park Hotel Apartamento;3482-716
Marco Viana;9654642;264888917;Pousa;1553-969
Lícidas Cerqueira;4134051;737427025;Cantinho;980-662
Mem Palermo;17161561;821718640;Estalagem do Cerro;7059-682
Leonício Soares;6107794;62689800;Hotel Tivoli Jardim;3567-5
Celísio Rios;3495480;61359888;Barranco do Vale da Rouça;5161-176
Gastão Pedroso;4869764;716942510;Monte Da Quinta Club;5505-409
Neotero Calapez;13888208;124678873;Lagoa da Carrasqueira;3942-626
Torcato Niza;11820104;153096549;Barranco da Carrapateira;9515-523
Edvaldo Mota;14841139;865218124;Noselos;7554-191
Gersão Areias;3626684;638229662;Ribeiro de Saramadigo;8901-666
Leal Queiroz;2133625;799126207;Ribeiro do Pesquinho;1442-814
Arlindo Pinheiro;19848384;780627344;Ribeira Alcolobra;3350-260
Rui Sanchez;12803451;412701346;Cedros;3321-897
Sotero Farinha;17540652;616418802;Póvoa das Quartas;9673-50
Cristóforo Barreiros;17828482;625561386;Airães;6790-589
Barão Lobo;1512599;704542757;Bunheira;9942-460
Ary Lobato;9115540;93678055;Senhora do Monte;2718-359
Alivar Guido;12862711;601498250;Morincheira;1735-364
Atão Farinha;12107388;587437280;Espírito Santo;6342-986
Aloísio Infante;3180472;901413416;São Pedro do Sul;3286-708
Roque Laviano;10736595;852661058;Atlantic Gardens;4954-330
Cris Gomes;15908533;139546351;Burga;7070-6
Nivaldo Anjos;556551;755826862;Barranco da Corte Amarela;8751-99
Januário Cavadas;16384843;285471328;Facho;4472-454
Gonçalo Ligeiro;6856837;264984300;Corte do Peso;249-331
Oseias Sá;5470469;93368157;Fujaco;5388-328
Abelardo Pereira;6280551;122283885;Carrazedelo;3058-900
Ilídio Abrantes;3021506;894710440;Barra de Alvor;1272-310
Hugo Gil;2971780;992643853;Tremês;3214-861
Secundino Camões;4337258;464179645;Casal da Misarela;7411-459
Alex Gil;10594858;287673101;Serra de Rates;9363-536
Filipe Batista;9416797;531179698;Guimera;4592-145
Valentim Queiroga;18517807;401223349;Ribeiros;9124-184
Hélio Alves;19329543;45965875;Quarteira;3373-937
Natálio Durão;3010968;611985895;Serra do Freixo;3015-170
Arcanjo Abreu;1266305;929428713;Fajozes;1136-808
Eusébio Quadros;12372949;32965764;Valongo dos Azeites;1005-333
Lupicino Leite;13397615;209812864;Barranco das Pardinhas;609-694
Dilan Alvaredo;14305827;942004967;Ribeira de Vale das Hastes;7187-769
Amâncio Aragão;3915306;131593287;Vila Flor;7746-929
Frederico Cavaco;1784945;137918959;Vilar de Nantes;7521-186
Francisco Ferreira;9162693;402785514;Ribeira de Caria;9967-4
Brice Sousa;583645;164904558;Rabalde;9937-784
Níger Ferreira;14577202;56935100;Sabóia;8740-573
Elpídio Correia;16283698;612434472;Morganiças;8144-132
Nazário Estrela;1021059;215867515;Ribeira do Rabagão;5384-707
Adónis Tavares;65837;431448680;Praia de São Sebastião;2529-588
Nazário Júnior;19283225;637966425;Ermentão;5506-509
Félix Lino;17428132;33378993;Cabeça da Capela;9516-242
Claudemiro Cortez;18532890;287147849;Freixedinha;2280-697
Acácio Encarnação;19401990;225759361;Monte do Borreiro;6733-834
Rosil Coelho;15227993;938004456;Rio Alva;8082-302
Natão Praça;19432096;775234424;Casa Branca Beach & Golf Hotel;2999-974
Margarido Barroso;1756009;593190138;Ponte da Chã;5983-363
Nicásio Carvalhal;14510726;633042828;Salir de Matos;3500-347
Zarão Rodrigues;16682878;405687337;Serra da Galega;9698-553
Jardel Mourão;18208031;896960606;Boqueirão de Baixo;8268-57
Lucínio Borges;6669225;538885905;Picanceira;7705-981
Normano Tomé;4115852;311625167;Ribeira de Paraduça;4335-481
Otniel Alcântara;1417972;706345254;Fonte Mercê;4132-567
Rai Faria;5241258;176694471;Darque;9750-775
Hélio Almeida;6760851;979099752;Chão da Velha;595-245
Ramiro Cabanas;6899729;763836412;Serra de Pena Palim;3667-652
Áureo Carrasco;17095290;607108825;Fonte do Frade;2372-938
Brandão Alegria;7748972;203228010;Ferrarias Cimeiras;686-771
Justiniano Feijão;15999162;419816392;Joio de Cima;8303-964
Adelmo Marques;14495901;509507629;aquapura douro valley;570-59
Rómulo Galvão;14632106;101337982;Ilhéu da Praia;1911-8
Aristides Brito;18297432;627902582;Fundo de Vila;1494-339
Davide Bernardino;10192740;851121224;Meiriçô;5685-963
Mair Leal;19601771;277260243;Barranco do Moinho;6913-752
Patrício Souto Maior;884683;645771969;Fonte Escura;4705-213
Aléxis Dolores;2609864;625657982;Vibeira;2422-867
Benevenuto Martins;15842834;373466396;Repolha;5312-805
Heleno Correia;13541640;359219828;Monte Claro;9796-550
Eric Tavares;3470558;589398511;Curvaceira;4859-44
Remízio Abreu;12615409;407609880;Pico da Pereirinha;3634-13
Arcélio Romeiro;8498783;395959173;Estação de Portalegre;4594-452
Delmano Carmo;1628982;841937522;Ribeira de Alferrarede;1017-386
Nemésio Cardoso;11564317;630843441;Logocem;9505-571
Mélvin Borges;6281849;977584034;Ponta do Arieiro;8350-66
Tude Cortez;19024152;707423301;Vouguinha;3658-136
Dulcínio Camacho;6066342;286471558;Citânia de Briteiros;3972-718
Laertes Pedreira;6502313;221248149;Arranhadouro;9804-679
Evaristo Santana;11988007;64624228;Calvelhe;9540-67
Maurílio Ladeia;3067498;566692085;Casal das Sousas;4857-656
Luís Araújo;19873978;233772657;Alheira de Aquém;3722-880
Cíntio Louro;10992010;889905033;Hotel Rali;3235-459
Arcádio Moutinho;12961231;401538436;Obrais;4503-625
Durbalino Silva;17179985;404420906;Corte da Seda;9710-441
